lead_id,created_at,source,city,area,property_type,budget_pkr_lac,bedrooms,first_response_minutes,calls_made,total_call_seconds,whatsapp_replies,site_visits,agent_experience_years,is_overseas,referred_by_existing_client,has_financing_approved,token_amount_received_pkr,crm_record_hash,converted
MGC-101158,2025-08-28 12:36:09,Property Portal,Faisalabad,Park View City,Plot,91.0,,7.0,0,0.0,2,0,4.8,0,0,0,0.0,1800992726,0
MGC-107194,2024-05-20 07:47:30,Google Search,Gujranwala,Top City,Apartment,57.0,5.0,188.0,2,29.0,4,0,2.4,0,0,0,0.0,1798498675,0
MGC-107500,2025-08-31 22:28:04,Walk-in,Lahore,Park View City,Penthouse,459.0,5.0,55.0,5,350.0,1,0,7.5,0,0,0,0.0,6622208912,0
MGC-103473,2024-06-01 22:05:48,WhatsApp Campaign,Faisalabad,GT Road Corridor,Apartment,56.0,1.0,22.0,1,14.0,1,0,2.8,0,0,0,0.0,1615364058,0
MGC-104290-B,2025-09-30 17:20:44,Instagram,Karachi,B-17,Penthouse,349.0,1.0,4.0,4,724.0,0,1,1.1,1,0,0,0.0,9879744697,0
MGC-105201,2025-03-06 00:45:13,Referral,Peshawar,B-17,Apartment,115.0,1.0,31.0,4,118.0,1,0,1.8,0,0,0,1085000.0,8860518018,1
MGC-105993,2024-12-06 23:53:55,Facebook Ads,Lahore,DHA,Plot,86.0,,9.0,4,225.0,3,0,5.0,0,0,1,0.0,3708704039,0
MGC-106481,2025-03-06 09:09:47,WhatsApp Campaign,Peshawar,Blue World City,Plot,82.0,,6.0,0,0.0,0,0,2.8,0,0,0,0.0,6485857828,0
MGC-103685,2024-08-01 07:33:27,Property Portal,Multan,B-17,Apartment,75.0,4.0,159.0,1,32.0,2,0,4.0,0,0,0,0.0,8346385948,0
MGC-102495,2025-01-29 04:30:31,WhatsApp Campaign,Lahore,Chakri Road,Plot,58.0,,33.0,5,947.0,0,0,5.7,0,0,0,0.0,3665958111,0
MGC-105729,2025-05-28 05:39:02,WhatsApp Campaign,Karachi,Bahria Town,Apartment,148.0,5.0,41.0,2,200.0,2,0,2.4,0,0,1,0.0,4244756032,0
MGC-107585,2024-05-05 12:12:55,Property Portal,Faisalabad,Bani Gala,Villa,232.0,4.0,8.0,2,23.0,2,0,5.7,0,0,0,0.0,9666583609,0
MGC-103627,2024-06-28 00:37:22,Property Portal,Islamabad,Blue World City,Apartment,102.0,1.0,13.0,2,254.0,2,0,6.7,0,0,0,0.0,3447241458,0
MGC-105843,2025-06-13 04:11:31,Property Portal,Islamabad,,Plot,51.0,,127.0,1,74.0,2,1,2.0,0,0,0,0.0,5586588785,0
MGC-108421,2024-12-13 08:56:43,Property Portal,Islamabad,Gulberg Greens,Villa,218.0,4.0,22.0,2,293.0,4,0,7.9,0,0,1,0.0,8816556677,0
MGC-102697,2024-02-17 17:15:40,Google Search,Peshawar,Bani Gala,Apartment,51.0,5.0,153.0,2,62.0,4,0,6.0,0,0,1,0.0,7402865137,0
MGC-104395,2024-06-25 21:42:30,Walk-in,Islamabad,,Plot,51.0,,13.0,1,78.0,2,0,2.6,0,0,0,0.0,5092808358,0
MGC-104962,2024-07-02 16:32:02,Referral,Rawalpindi,Bahria Town,Villa,144.0,3.0,28.0,1,30.0,0,1,1.4,1,0,0,0.0,5675824314,0
MGC-106946,2024-05-10 21:41:48,Expo Stall,Rawalpindi,B-17,Commercial Shop,122.0,,116.0,1,82.0,3,0,1.3,0,0,1,0.0,8924002111,0
MGC-108539,2024-11-16 08:36:55,Property Portal,Rawalpindi,B-17,Commercial Shop,235.0,,26.0,2,265.0,4,1,1.3,0,0,0,0.0,2235812501,0
MGC-101742,2024-12-17 20:57:16,Expo Stall,Rawalpindi,,Apartment,118.0,1.0,22.0,1,94.0,1,0,1.0,0,0,1,0.0,4916464297,0
MGC-104421,2024-07-07 01:19:34,WhatsApp Campaign,Islamabad,GT Road Corridor,Apartment,55.0,3.0,22.0,4,539.0,1,0,4.2,0,0,0,0.0,5653107693,0
MGC-102621,2024-07-24 16:25:27,Instagram,Peshawar,Bani Gala,Villa,545.0,3.0,27.0,4,146.0,3,0,4.2,0,0,0,0.0,2312252404,0
MGC-107178,2024-08-23 12:42:04,Facebook Ads,Faisalabad,Gulberg Greens,Plot,75.0,,31.0,4,189.0,2,0,6.7,0,1,1,0.0,3923732372,0
MGC-104495,2025-07-08 12:00:55,Instagram,Rawalpindi,Top City,Apartment,84.0,1.0,103.0,2,223.0,1,1,6.5,0,0,0,0.0,5672132442,0
MGC-107939,2025-07-27 21:47:31,Walk-in,Rawalpindi,Bahria Town,Apartment,116.0,2.0,52.0,1,24.0,0,2,1.9,0,0,0,0.0,1805876329,0
MGC-106570,2025-05-20 00:46:50,WhatsApp Campaign,Rawalpindi,Blue World City,Plot,114.0,,33.0,0,0.0,1,0,0.4,0,1,1,0.0,4123248808,0
MGC-105793,2025-06-19 01:11:08,Walk-in,Faisalabad,GT Road Corridor,Villa,131.0,4.0,179.0,2,59.0,2,0,3.6,1,0,1,0.0,3261431071,0
MGC-103363,2025-05-01 22:34:08,Property Portal,Karachi,B-17,Apartment,37.0,3.0,19.0,1,88.0,1,0,2.5,0,0,0,0.0,1568859600,0
MGC-102558,2025-07-31 01:06:51,Property Portal,ISLAMABAD,B-17,Plot,100.0,,9.0,1,129.0,2,1,2.4,1,0,1,0.0,3077243976,0
MGC-103252,2025-02-24 18:25:45,Google Search,Gujranwala,Top City,Villa,188.0,1.0,25.0,3,93.0,3,1,4.5,0,0,0,0.0,6554229972,0
MGC-106789,2024-11-26 11:17:00,Instagram,Peshawar,DHA,Plot,57.0,,24.0,4,1443.0,3,0,6.6,0,0,0,0.0,1542097223,0
MGC-102386,2024-04-18 21:29:22,Property Portal,Multan,Chakri Road,Plot,145.0,,47.0,1,97.0,1,2,7.8,0,0,0,0.0,3642949759,0
MGC-106939,2025-01-25 18:53:26,Referral,Islamabad,Chakri Road,Villa,239.0,3.0,98.0,3,258.0,0,0,5.2,0,0,0,0.0,1372576478,0
MGC-104642,2025-06-03 22:09:23,Google Search,LAHORE,DHA,Farmhouse,734.0,4.0,53.0,1,55.0,2,1,5.1,0,0,0,0.0,4981183205,0
MGC-106340,2024-09-20 06:05:01,Instagram,Faisalabad,Bani Gala,Apartment,38.0,1.0,24.0,3,113.0,3,0,2.4,1,0,1,316000.0,1163817886,1
MGC-108338,2025-01-13 18:07:03,Instagram,Islamabad,Gulberg Greens,Farmhouse,439.0,2.0,22.0,2,76.0,0,0,4.5,1,0,0,0.0,4348730585,0
MGC-104799,2025-06-21 23:33:56,Facebook Ads,Islamabad,Chakri Road,Commercial Shop,149.0,,53.0,4,314.0,3,0,5.1,0,0,0,0.0,6221436619,0
MGC-102434,2025-08-17 12:11:39,Facebook Ads,Rawalpindi,GT Road Corridor,Plot,42.0,,15.0,1,124.0,3,1,3.7,0,0,0,0.0,8319739285,0
MGC-107002,2024-07-22 17:43:42,Instagram,Rawalpindi,Blue World City,Apartment,96.0,4.0,18.0,1,28.0,1,1,2.1,0,0,0,0.0,8667205376,0
MGC-102866,2025-04-09 06:03:06,Walk-in,Lahore,Chakri Road,Apartment,100.0,5.0,35.0,5,255.0,3,0,1.8,0,0,0,0.0,8159379500,0
MGC-107029,2025-08-25 04:35:44,Property Portal,Peshawar,Bani Gala,Commercial Shop,116.0,,32.0,0,0.0,1,0,6.9,0,0,0,0.0,5259726131,0
MGC-106653,2025-06-24 13:57:12,Property Portal,Islamabad,Park View City,Plot,71.0,,273.0,3,164.0,0,0,4.5,0,0,0,0.0,5586667041,0
MGC-105369,2025-09-11 17:04:41,Facebook Ads,Rawalpindi,DHA,Villa,537.0,2.0,5.0,1,151.0,5,0,6.7,0,0,1,2649000.0,4756253970,1
MGC-107902,2025-05-10 16:19:38,Instagram,Islamabad,Gulberg Greens,Apartment,73.0,5.0,,2,132.0,0,1,0.2,0,0,0,0.0,9211981790,0
MGC-101049,2024-12-01 21:14:03,Billboard,Rawalpindi,Bani Gala,Villa,151.0,2.0,42.0,0,0.0,1,0,1.9,0,0,1,0.0,4789857548,0
MGC-104171,2025-08-04 22:41:46,Referral,PESHAWAR,Park View City,Apartment,71.0,5.0,16.0,3,112.0,1,0,2.7,0,0,1,0.0,7008817168,0
MGC-102900,2025-05-06 05:43:17,Walk-in,Islamabad,B-17,Commercial Shop,205.0,,84.0,1,32.0,0,0,2.3,0,0,0,0.0,6941064184,0
MGC-106933,2024-02-06 06:02:01,Facebook Ads,Peshawar,Blue World City,Apartment,108.0,4.0,22.0,2,68.0,2,0,1.3,0,0,0,0.0,4816929797,0
MGC-103694,2024-10-08 03:51:45,Instagram,Lahore,Top City,Apartment,76.0,4.0,10.0,1,88.0,1,0,3.0,0,0,0,0.0,4130361619,0
MGC-108664,2025-04-15 03:41:03,Instagram,Lahore,Bahria Town,Villa,182.0,2.0,61.0,0,0.0,3,1,4.0,1,0,0,0.0,6075218637,0
MGC-101911,2024-05-04 20:56:19,Facebook Ads,Rawalpindi,,Apartment,111.0,2.0,5.0,2,33.0,2,1,2.8,0,0,0,0.0,8072449865,0
MGC-108155,2024-11-21 11:28:33,Walk-in,Karachi,B-17,Villa,132.0,1.0,13.0,4,149.0,3,0,4.5,0,0,0,0.0,3543451844,0
MGC-107318,2024-11-12 17:18:04,Facebook Ads,Islamabad,Bahria Town,Plot,73.0,,34.0,2,71.0,3,0,6.9,0,0,0,0.0,7575269088,0
MGC-103018,2025-07-08 04:17:38,WhatsApp Campaign,Islamabad,,Apartment,189.0,1.0,7.0,4,1421.0,0,0,2.3,0,1,0,0.0,9260554239,0
MGC-103697,2024-10-26 13:40:46,Facebook Ads,Islamabad,Chakri Road,Penthouse,359.0,4.0,29.0,3,148.0,3,0,3.8,0,0,0,0.0,7560588271,0
MGC-100261,2025-08-29 16:01:46,Walk-in,Peshawar,Park View City,Apartment,98.0,2.0,29.0,2,416.0,2,0,0.8,0,0,1,0.0,3197872371,0
MGC-107213,2024-05-06 13:57:52,Google Search,Rawalpindi,B-17,Plot,,,26.0,3,132.0,2,2,5.3,0,0,0,0.0,8717902438,0
MGC-101670,2024-06-12 19:15:58,Facebook Ads,Gujranwala,B-17,Villa,168.0,3.0,203.0,1,216.0,1,0,2.1,0,0,0,0.0,4450323896,0
MGC-106729,2025-03-16 19:46:21,Instagram,Rawalpindi,Gulberg Greens,Apartment,88.0,4.0,4.0,3,118.0,3,0,3.5,1,1,0,369000.0,9378547248,1
MGC-108484,2024-08-12 07:07:36,Google Search,Rawalpindi,GT Road Corridor,Plot,49.0,,35.0,0,0.0,1,0,4.0,0,0,0,0.0,5935422417,0
MGC-104696,2024-01-12 12:29:49,Google Search,Peshawar,Blue World City,Apartment,237.0,5.0,55.0,4,71.0,0,0,5.7,0,0,0,0.0,9008712477,0
MGC-105997,2024-10-09 17:44:11,Walk-in,Islamabad,GT Road Corridor,Plot,85.0,,9.0,3,649.0,1,2,4.2,0,0,0,736000.0,5398991512,1
MGC-103980,2025-02-26 11:00:01,Walk-in,Karachi,GT Road Corridor,Villa,248.0,2.0,11.0,2,54.0,1,0,1.1,0,0,0,0.0,4861708501,0
MGC-106566,2025-03-31 07:29:19,Property Portal,Islamabad,Park View City,Plot,68.0,,8.0,2,61.0,2,0,0.8,0,0,0,0.0,3904592966,0
MGC-102439,2024-03-04 11:25:13,Google Search,Multan,B-17,Apartment,112.0,1.0,19.0,5,553.0,0,0,1.7,0,0,0,0.0,8748831491,0
MGC-105922,2025-08-20 15:48:32,Referral,Karachi,GT Road Corridor,Farmhouse,605.0,3.0,76.0,9,260.0,0,0,4.6,0,1,0,0.0,3342694957,0
MGC-101173,2025-08-08 19:49:07,Instagram,Lahore,DHA,Plot,76.0,,8.0,3,147.0,0,0,8.6,0,0,0,0.0,5273051082,0
MGC-108272,2025-04-09 04:03:22,Facebook Ads,Faisalabad,Gulberg Greens,Apartment,162.0,4.0,14.0,3,465.0,1,0,7.1,0,0,0,0.0,3908871881,0
MGC-105651,2024-09-10 00:37:18,Google Search,Faisalabad,Park View City,Villa,168.0,3.0,88.0,3,31.0,2,0,2.9,0,0,1,0.0,3250695191,0
MGC-104337,2024-04-05 08:49:45,Instagram,Islamabad,Bani Gala,Villa,456.0,2.0,31.0,2,81.0,0,0,1.1,0,1,0,0.0,5828175823,0
MGC-108706,2024-02-20 09:21:35,Facebook Ads,ISLAMABAD,Bani Gala,Farmhouse,340.0,1.0,33.0,1,22.0,3,1,1.0,0,0,0,0.0,3436537557,0
MGC-107577,2025-03-02 17:47:49,Walk-in,Rawalpindi,Park View City,Villa,310.0,3.0,30.0,3,98.0,3,3,4.8,0,0,0,0.0,5759572985,0
MGC-102016,2024-08-08 17:27:59,WhatsApp Campaign,Lahore,Bahria Town,Apartment,96.0,5.0,5.0,4,76.0,1,0,5.5,0,0,1,0.0,7929682138,0
MGC-106679,2025-04-21 23:37:38,Facebook Ads,khi,Park View City,Commercial Shop,226.0,,24.0,3,187.0,0,0,5.9,0,0,0,0.0,4080495314,0
MGC-101982-B,2024-02-13 11:56:49,Property Portal,khi,Top City,Apartment,162.0,1.0,137.0,0,0.0,2,0,4.1,0,0,1,0.0,7179372027,0
MGC-104971,2025-02-15 16:14:02,Facebook Ads,Faisalabad,Blue World City,Apartment,32.0,5.0,13.0,2,89.0,1,0,5.8,0,0,0,279000.0,3029150550,1
MGC-104037,2025-01-15 13:22:31,Facebook Ads,Lahore,Blue World City,Villa,287.0,1.0,11.0,1,11.0,2,0,2.7,0,0,0,0.0,6307928681,0
MGC-105802,2025-06-27 18:58:58,WhatsApp Campaign,Rawalpindi,Park View City,Commercial Shop,89.0,,114.0,1,204.0,1,0,5.2,0,0,1,0.0,3475868493,0
MGC-105274,2024-09-01 14:40:22,Referral,Multan,DHA,Plot,228.0,,13.0,0,0.0,0,0,5.1,0,0,0,0.0,5463186029,0
MGC-105902,2025-05-07 22:36:49,Facebook Ads,LAHORE,Top City,Commercial Shop,64.0,,96.0,1,37.0,0,0,1.6,0,0,0,0.0,8661533754,0
MGC-104167,2025-08-20 13:37:11,Property Portal,Lahore,B-17,Commercial Shop,233.0,,14.0,1,39.0,2,0,1.6,1,0,0,0.0,5619948111,0
MGC-100086,2025-08-24 18:23:31,WhatsApp Campaign,Peshawar,Blue World City,Apartment,102.0,4.0,171.0,2,149.0,1,0,0.3,1,1,0,0.0,8536437046,0
MGC-106072,2025-04-02 00:12:58,Facebook Ads,Lahore,DHA,Farmhouse,562.0,1.0,17.0,0,0.0,0,0,5.4,0,0,0,0.0,5079862812,0
MGC-106001,2024-05-09 08:16:16,Facebook Ads,Islamabad,Park View City,Plot,130.0,,10.0,2,62.0,4,0,4.7,0,0,0,0.0,9674987934,0
MGC-104544,2024-01-03 18:20:25,Google Search,Islamabad,Bahria Town,Villa,342.0,2.0,44.0,1,39.0,1,0,4.9,0,0,0,0.0,6608788176,0
MGC-104089,2024-08-18 19:59:33,Facebook Ads,Lahore,Top City,Plot,43.0,,64.0,1,11.0,1,0,7.8,0,0,0,0.0,4126146984,0
MGC-106370,2025-09-14 15:21:31,Google Search,Islamabad,DHA,Commercial Shop,185.0,,36.0,2,141.0,0,1,4.6,1,0,0,0.0,6137743094,0
MGC-101647,2024-12-27 18:10:24,Google Search,Islamabad,Gulberg Greens,Villa,222.0,3.0,14.0,5,616.0,1,0,11.4,0,0,0,0.0,8770869546,0
MGC-102438,2025-09-27 02:07:01,Property Portal,Multan,B-17,Commercial Shop,136.0,,60.0,1,15.0,3,0,4.3,1,0,0,0.0,3397497555,0
MGC-108673,2025-04-15 11:47:29,Property Portal,Rawalpindi,Chakri Road,Plot,104.0,,35.0,2,160.0,4,1,3.6,0,0,0,0.0,1872561234,0
MGC-102760,2025-08-27 19:38:36,Facebook Ads,Rawalpindi,Bani Gala,Apartment,94.0,5.0,123.0,2,85.0,1,1,3.2,0,0,0,0.0,7329927379,0
MGC-105308,2025-07-18 13:50:23,Referral,Islamabad,Top City,Plot,47.0,,544.0,3,257.0,1,1,5.6,0,1,0,0.0,9936327682,0
MGC-100204,2025-04-10 07:56:16,Instagram,Rawalpindi,Gulberg Greens,Apartment,,1.0,36.0,3,56.0,2,0,2.0,1,0,0,0.0,2878159896,0
MGC-104809,2024-10-28 11:28:41,Referral,Islamabad,Park View City,Apartment,94.0,3.0,1.0,1,27.0,1,0,3.4,0,0,0,0.0,5100906405,0
MGC-106606,2024-05-23 08:38:42,Google Search,Lahore,Chakri Road,Commercial Shop,178.0,,12.0,4,256.0,0,1,7.7,0,0,0,0.0,4375144873,0
MGC-108735,2024-06-10 03:15:53,Property Portal,Islamabad,Blue World City,Apartment,157.0,3.0,12.0,2,37.0,2,1,2.8,0,0,0,0.0,6701283887,0
MGC-107102,2024-03-28 02:01:42,Facebook Ads,Rawalpindi,,Villa,128.0,1.0,34.0,4,35.0,0,3,2.1,0,0,0,0.0,9333479348,0
MGC-108788,2025-09-08 23:05:00,Google Search,Multan,Blue World City,Plot,139.0,,16.0,3,266.0,1,0,,0,0,0,0.0,2233112230,0
MGC-108751,2024-02-18 00:49:45,Facebook Ads,Islamabad,Top City,Apartment,82.0,2.0,,1,21.0,1,0,1.4,0,0,0,0.0,6868621478,0
MGC-108610,2024-12-12 03:30:48,Facebook Ads,Islamabad,Blue World City,Villa,247.0,1.0,93.0,1,32.0,2,0,1.1,0,0,0,0.0,5369597573,0
MGC-101450,2025-04-06 13:55:46,Property Portal,Rawalpindi,Bahria Town,Plot,116.0,,27.0,4,426.0,2,1,2.0,0,0,0,0.0,3962403877,0
MGC-108009,2024-07-30 21:41:19,WhatsApp Campaign,Islamabad,B-17,Villa,598.0,1.0,4.0,0,0.0,6,0,6.3,0,0,0,0.0,5785757174,0
MGC-106295,2025-07-19 21:52:38,Walk-in,Islamabad,GT Road Corridor,Villa,236.0,3.0,29.0,2,222.0,1,0,5.3,0,1,0,0.0,2867767565,0
MGC-102579,2024-08-17 17:05:22,Google Search,Multan,Bahria Town,Apartment,132.0,1.0,2.0,2,114.0,0,0,11.6,0,0,0,0.0,9589797142,0
MGC-100738,2024-09-02 12:28:36,Facebook Ads,Lahore,Park View City,Apartment,57.0,5.0,5.0,6,400.0,3,0,0.6,0,0,0,0.0,7998835535,0
MGC-100093,2024-02-28 07:00:38,Facebook Ads,Rawalpindi,Blue World City,Plot,58.0,,11.0,3,425.0,1,0,4.3,0,0,0,0.0,1911887978,0
MGC-104599,2024-07-09 09:18:06,Property Portal,Peshawar,Bahria Town,Plot,103.0,,17.0,3,146.0,2,1,3.2,0,0,0,0.0,1450884960,0
MGC-102217,2025-04-25 23:47:35,Referral,Faisalabad,Top City,Villa,254.0,2.0,90.0,9,131.0,3,1,0.4,0,0,0,0.0,3879398210,0
MGC-107160,2025-07-19 00:26:02,Facebook Ads,Karachi,B-17,Apartment,128.0,4.0,55.0,1,75.0,2,0,,0,0,0,0.0,8568269225,0
MGC-103780,2025-04-01 17:21:30,Referral,Multan,,Apartment,55.0,3.0,105.0,2,296.0,5,0,5.0,0,0,1,0.0,7775727609,0
MGC-101899,2025-04-12 06:31:08,Facebook Ads,Lahore,B-17,Apartment,100.0,4.0,29.0,1,26.0,0,2,4.3,0,0,1,0.0,6459896749,0
MGC-106421,2025-05-30 10:56:01,Instagram,Peshawar,Bani Gala,Apartment,,1.0,53.0,3,35.0,2,1,2.5,0,0,0,0.0,3881417551,0
MGC-108581,2025-03-24 01:15:26,Referral,Islamabad,GT Road Corridor,Villa,183.0,4.0,50.0,0,0.0,5,0,5.0,1,0,0,0.0,1934478883,0
MGC-106004,2024-03-21 10:14:09,Facebook Ads,Islamabad,B-17,Apartment,95.0,1.0,20.0,1,281.0,1,1,,0,0,0,0.0,1043031485,0
MGC-106087,2025-06-19 16:25:51,Billboard,Karachi,Chakri Road,Apartment,75.0,5.0,4.0,2,229.0,2,0,5.9,0,0,0,0.0,7703331141,0
MGC-105691,2025-03-09 23:31:30,WhatsApp Campaign,Lahore,Bahria Town,Plot,107.0,,43.0,1,77.0,2,0,2.0,1,0,1,0.0,2100324956,0
MGC-107716,2024-12-26 03:37:25,Facebook Ads,Islamabad,Blue World City,Penthouse,288.0,2.0,4.0,3,107.0,3,0,3.3,0,0,0,0.0,5603223704,0
MGC-102393,2024-07-23 19:10:42,Google Search,ISLAMABAD,Gulberg Greens,Apartment,65.0,1.0,,1,40.0,1,0,8.9,1,0,0,0.0,7520915410,0
MGC-100364,2025-04-19 05:30:31,Facebook Ads,Rwp,Chakri Road,Commercial Shop,95.0,,47.0,2,107.0,2,0,5.5,0,0,0,0.0,9334531844,0
MGC-105761,2024-02-02 06:26:31,Instagram,Lahore,GT Road Corridor,Plot,85.0,,124.0,3,390.0,0,0,7.9,1,0,1,0.0,8578477426,0
MGC-102240,2024-01-26 04:31:40,Property Portal,Islamabad,Park View City,Plot,75.0,,97.0,2,129.0,1,0,4.7,0,0,0,0.0,9564980801,0
MGC-101995,2024-04-23 18:39:26,Facebook Ads,Karachi,Blue World City,Apartment,160.0,1.0,22.0,3,85.0,3,0,3.6,0,0,1,0.0,9824783054,0
MGC-104984,2025-03-13 16:46:46,Google Search,Lahore,Bani Gala,Apartment,139.0,5.0,32.0,2,610.0,3,0,4.1,1,0,0,0.0,9674835535,0
MGC-107731,2024-06-24 09:10:23,Walk-in,Lahore,Bahria Town,Apartment,90.0,4.0,12.0,2,201.0,0,0,3.1,0,1,0,0.0,2447690306,0
MGC-100709,2024-03-19 06:25:38,WhatsApp Campaign,Rawalpindi,Gulberg Greens,Apartment,347.0,5.0,17.0,3,650.0,3,0,3.0,0,0,1,0.0,8346115771,0
MGC-104404,2025-04-11 10:22:02,Walk-in,Lahore,Bani Gala,Plot,99.0,,218.0,1,164.0,4,0,1.6,0,0,0,0.0,4456601708,0
MGC-107140,2024-03-26 08:16:17,Facebook Ads,Islamabad,Bani Gala,Villa,437.0,2.0,24.0,3,135.0,6,0,7.5,0,0,0,0.0,9464169565,0
MGC-100649,2025-08-12 18:35:27,Expo Stall,Rawalpindi,GT Road Corridor,Plot,58.0,,84.0,1,31.0,1,0,2.2,0,0,1,0.0,3096797190,0
MGC-101897-B,2025-02-03 13:21:27,Google Search,Rawalpindi,Top City,Apartment,75.0,4.0,,5,129.0,0,1,1.0,0,0,0,0.0,1790727488,0
MGC-101619,2025-08-26 04:14:55,Referral,Islamabad,,Commercial Shop,288.0,,32.0,5,539.0,2,0,3.3,0,0,1,0.0,3568879021,0
MGC-106231,2024-06-25 02:46:47,Walk-in,Rawalpindi,Bahria Town,Plot,85.0,,13.0,3,133.0,1,1,0.6,0,0,1,839000.0,2085505743,1
MGC-101374,2024-10-01 00:24:44,Instagram,Peshawar,Blue World City,Plot,60.0,,58.0,4,101.0,2,0,4.7,0,0,0,0.0,2845863774,0
MGC-101534,2024-05-17 15:11:35,Walk-in,Islamabad,Gulberg Greens,Plot,160.0,,33.0,4,292.0,2,0,0.8,0,0,0,0.0,2039531872,0
MGC-107191,2024-07-11 09:18:53,Facebook Ads,PESHAWAR,Chakri Road,Penthouse,344.0,1.0,47.0,2,108.0,0,2,2.4,0,0,0,2596000.0,7100477593,1
MGC-100365,2025-07-15 09:43:34,Property Portal,Rawalpindi,Chakri Road,Apartment,101.0,4.0,29.0,2,71.0,1,1,0.5,0,0,0,0.0,2198010816,0
MGC-108169,2024-05-15 07:50:22,Google Search,Islamabad,Top City,Apartment,142.0,4.0,22.0,1,19.0,3,0,6.2,0,1,1,724000.0,5687005074,1
MGC-106129,2024-12-19 13:45:01,Property Portal,Abbottabad,,Villa,361.0,3.0,26.0,1,105.0,0,1,4.3,0,1,0,0.0,1773430245,0
MGC-108057,2025-09-17 10:32:40,Google Search,Islamabad,,Apartment,98.0,1.0,22.0,0,0.0,2,0,2.6,1,0,0,0.0,3386148066,0
MGC-108605,2024-04-01 22:28:29,Instagram,Islamabad,B-17,Penthouse,,1.0,37.0,0,0.0,1,1,2.2,0,0,0,0.0,9975930045,0
MGC-106172,2024-06-13 16:23:36,Instagram,Islamabad,Bahria Town,Plot,76.0,,155.0,2,208.0,2,1,3.6,0,0,1,0.0,3053096084,0
MGC-101263,2025-06-25 00:30:55,Instagram,Rawalpindi,Gulberg Greens,Apartment,47.0,3.0,20.0,4,144.0,0,1,1.7,1,0,0,0.0,5112400251,0
MGC-108153,2024-10-13 14:47:20,Property Portal,Lahore,DHA,Apartment,151.0,2.0,258.0,1,64.0,2,0,8.7,1,0,0,0.0,8480518941,0
MGC-107866,2025-03-25 16:37:56,Google Search,Faisalabad,,Apartment,90.0,1.0,28.0,1,68.0,2,0,5.0,0,1,0,639000.0,7751361756,1
